Ex_MeV,L,theta_cm_deg,dsdo_mb_sr,dsdo_low_mb_sr,dsdo_high_mb_sr,note
9.21,1,7.9,0.049,,,digitized
9.21,1,11.0,0.031,,,digitized
9.21,1,14.5,0.0110,0.0073,0.0152,digitized_error_bar
9.21,1,18.2,0.0064,0.0041,0.0097,digitized_error_bar
9.21,1,24.0,0.0037,0.0016,0.0060,digitized_error_bar
9.44,2,7.6,0.103,,,digitized
9.44,2,10.8,0.075,,,digitized
9.44,2,14.4,0.057,,,digitized
9.44,2,18.0,0.033,,,digitized
9.44,2,23.6,0.033,,,digitized
9.44,2,29.6,0.026,,,digitized
9.44,2,37.6,0.018,,,digitized
9.70,2,7.9,0.038,,,digitized
9.70,2,10.9,0.037,,,digitized
9.70,2,14.3,0.031,,,digitized
9.70,2,18.0,0.0158,,,digitized
9.70,2,23.5,0.0038,0.0019,0.0055,digitized_error_bar
9.81,2,7.8,0.035,,,digitized
9.81,2,11.0,0.029,,,digitized
9.81,2,14.5,0.0168,,,digitized
9.81,2,18.1,0.0111,0.0076,0.0158,digitized_error_bar
9.81,2,23.6,0.0079,0.0050,0.0117,digitized_error_bar
10.04,5,10.9,0.034,,,digitized
10.04,5,14.4,0.029,,,digitized
10.04,5,18.0,0.029,,,digitized
10.04,5,23.6,0.026,,,digitized
10.04,5,29.6,0.025,,,digitized
10.04,5,37.6,0.0113,,,digitized
10.60,"5/6",7.8,0.038,,,digitized
10.60,"5/6",11.0,0.031,,,digitized
10.60,"5/6",14.5,0.038,,,digitized
10.60,"5/6",18.4,0.024,,,digitized
