theta_cm_deg,fresco_mb_sr,scaled_mb_sr
0,2,0.2389964702
0.1,1.439,0.1719579603
0.2,1.439,0.1719579603
0.3,1.438,0.171838462
0.4,1.438,0.171838462
0.5,1.438,0.171838462
0.6,1.437,0.1717189638
0.7,1.437,0.1717189638
0.8,1.436,0.1715994656
0.9,1.435,0.1714799673
1,1.434,0.1713604691
1.1,1.433,0.1712409709
1.2,1.432,0.1711214726
1.3,1.431,0.1710019744
1.4,1.43,0.1708824762
1.5,1.429,0.1707629779
1.6,1.427,0.1705239815
1.7,1.426,0.1704044832
1.8,1.424,0.1701654868
1.9,1.422,0.1699264903
2,1.421,0.1698069921
2.1,1.419,0.1695679956
2.2,1.417,0.1693289991
2.3,1.415,0.1690900026
2.4,1.412,0.1687315079
2.5,1.41,0.1684925115
2.6,1.408,0.168253515
2.7,1.405,0.1678950203
2.8,1.403,0.1676560238
2.9,1.4,0.1672975291
3,1.397,0.1669390344
3.1,1.394,0.1665805397
3.2,1.391,0.166222045
3.3,1.388,0.1658635503
3.4,1.385,0.1655050556
3.5,1.381,0.1650270626
3.6,1.378,0.1646685679
3.7,1.374,0.164190575
3.8,1.37,0.1637125821
3.9,1.367,0.1633540874
4,1.363,0.1628760944
4.1,1.359,0.1623981015
4.2,1.354,0.1618006103
4.3,1.35,0.1613226174
4.4,1.346,0.1608446244
4.5,1.341,0.1602471332
4.6,1.336,0.1596496421
4.7,1.332,0.1591716491
4.8,1.327,0.158574158
4.9,1.322,0.1579766668
5,1.316,0.1572596774
5.1,1.311,0.1566621862
5.2,1.306,0.156064695
5.3,1.3,0.1553477056
5.4,1.294,0.1546307162
5.5,1.288,0.1539137268
5.6,1.282,0.1531967374
5.7,1.276,0.152479748
5.8,1.27,0.1517627586
5.9,1.264,0.1510457691
6,1.257,0.1502092815
6.1,1.251,0.1494922921
6.2,1.244,0.1486558044
6.3,1.237,0.1478193168
6.4,1.23,0.1469828292
6.5,1.223,0.1461463415
6.6,1.216,0.1453098539
6.7,1.208,0.144353868
6.8,1.201,0.1435173803
6.9,1.193,0.1425613945
7,1.185,0.1416054086
7.1,1.177,0.1406494227
7.2,1.169,0.1396934368
7.3,1.161,0.1387374509
7.4,1.153,0.137781465
7.5,1.145,0.1368254792
7.6,1.136,0.1357499951
7.7,1.127,0.1346745109
7.8,1.119,0.1337185251
